repeat,seed,feature_set,fold,macro_f1,balanced_accuracy
5,20260824,M+R,3,0.3847544781755323,0.3869565217391305
5,20260824,M+R,4,0.31703253139425597,0.3173913043478261
5,20260824,M+R,5,0.2846633755833643,0.2980767135229378
5,20260824,M+R+A,1,0.2647572045443773,0.2782608695652174
5,20260824,M+R+A,2,0.36982003224766186,0.37265446224256293
5,20260824,M+R+A,3,0.401126280385851,0.3978260869565218
5,20260824,M+R+A,4,0.3193050809726881,0.3195652173913044
5,20260824,M+R+A,5,0.28820690305882424,0.30015800370491447
6,20260825,M,1,0.27712333144133827,0.29130434782608694
6,20260825,M,2,0.30860074333715715,0.3062111801242236
6,20260825,M,3,0.3158429028864173,0.32395663070720276
6,20260825,M,4,0.30513212346600727,0.3152173913043478
6,20260825,M,5,0.29028966222775376,0.2956521739130435
6,20260825,M+R,1,0.29362357200366096,0.30434782608695654
6,20260825,M+R,2,0.3073548802161751,0.3084886128364389
6,20260825,M+R,3,0.3256649257409218,0.33483709273182954
6,20260825,M+R,4,0.3468867468398362,0.3608695652173913
6,20260825,M+R,5,0.34538752227568276,0.3567505720823799
6,20260825,M+R+A,1,0.3075399456449341,0.3173913043478261
6,20260825,M+R+A,2,0.3009676744169148,0.2997929606625259
6,20260825,M+R+A,3,0.3074080378228362,0.315064836003051
6,20260825,M+R+A,4,0.33962812681398136,0.3543478260869565
6,20260825,M+R+A,5,0.3594741872700615,0.3676201372997711
7,20260826,M,1,0.29208910246648556,0.3061076604554865
7,20260826,M,2,0.2988805244618451,0.29751552795031055
7,20260826,M,3,0.2952970849784949,0.2975155279503106
7,20260826,M,4,0.3213240880784845,0.3286041189931351
7,20260826,M,5,0.2829576100407878,0.28363844393592685
7,20260826,M+R,1,0.30763717096722926,0.32556935817805377
7,20260826,M+R,2,0.325287654600489,0.3280538302277433
7,20260826,M+R,3,0.3121252475679437,0.3127329192546584
7,20260826,M+R,4,0.36109633087822524,0.3676201372997711
7,20260826,M+R,5,0.30610547686797035,0.3080091533180778
7,20260826,M+R+A,1,0.30440457607790355,0.3192546583850932
7,20260826,M+R+A,2,0.3258159379355007,0.32577639751552795
7,20260826,M+R+A,3,0.2980503663298343,0.29968944099378886
7,20260826,M+R+A,4,0.37483821445135374,0.37860411899313506
7,20260826,M+R+A,5,0.31342012457022983,0.3118993135011442
8,20260827,M,1,0.27589530701505227,0.28054919908466813
8,20260827,M,2,0.31787309709365674,0.31697722567287784
8,20260827,M,3,0.30389504914069826,0.3126293995859214
8,20260827,M,4,0.2606062930748983,0.26590389016018307
8,20260827,M,5,0.31712463783797734,0.3195652173913044
8,20260827,M+R,1,0.2950552515308615,0.2958810068649886
8,20260827,M+R,2,0.3700028984747049,0.36915113871635613
8,20260827,M+R,3,0.33560123394063884,0.34492753623188405
8,20260827,M+R,4,0.31285965686893236,0.31636155606407323
8,20260827,M+R,5,0.3506213885324571,0.3565217391304348
8,20260827,M+R+A,1,0.2987583708612426,0.30011441647597253
8,20260827,M+R+A,2,0.374695955018346,0.3713250517598343
8,20260827,M+R+A,3,0.30796167266560426,0.31480331262939953
8,20260827,M+R+A,4,0.31957106872814595,0.32940503432494284
8,20260827,M+R+A,5,0.3521774008458692,0.358695652173913
9,20260828,M,1,0.28775584845580154,0.2891304347826087
9,20260828,M,2,0.28786986397184866,0.2891304347826087
9,20260828,M,3,0.3533502914391592,0.36055900621118003
9,20260828,M,4,0.28048235993700626,0.28492971559333113
9,20260828,M,5,0.3192732093294639,0.32837528604118993
9,20260828,M+R,1,0.32949833858267025,0.3347826086956522
9,20260828,M+R,2,0.31476944089170233,0.3152173913043478
9,20260828,M+R,3,0.35503794391818927,0.3627329192546584
9,20260828,M+R,4,0.3084455311723032,0.3134085213032582
9,20260828,M+R,5,0.33631629828018406,0.3394736842105263
9,20260828,M+R+A,1,0.30911306542088035,0.3108695652173913
9,20260828,M+R+A,2,0.3357467774530907,0.3369565217391305
9,20260828,M+R+A,3,0.3459622645939946,0.36055900621118014
9,20260828,M+R+A,4,0.31637455728001757,0.32003378010243
9,20260828,M+R+A,5,0.3552227912739427,0.3612128146453089
10,20260829,M,1,0.2721730454299264,0.28012422360248446
10,20260829,M,2,0.3248896842033344,0.3203988231448186
10,20260829,M,3,0.25781011623073746,0.260351966873706
10,20260829,M,4,0.29528122465299855,0.3022883295194508
10,20260829,M,5,0.30073014599979225,0.3066361556064073
10,20260829,M+R,1,0.2780908675351286,0.2780538302277433
10,20260829,M+R,2,0.3380670271514098,0.3354091751116924
10,20260829,M+R,3,0.3018123608510762,0.2995859213250518
10,20260829,M+R,4,0.34354706633745624,0.3502288329519451
10,20260829,M+R,5,0.3539981538753185,0.36556064073226546
10,20260829,M+R+A,1,0.30375285762984044,0.30610766045548654
10,20260829,M+R+A,2,0.31374583560766767,0.3134303149177292
10,20260829,M+R+A,3,0.3251219722317645,0.3278467908902691
10,20260829,M+R+A,4,0.32814553472562524,0.3348970251716246
10,20260829,M+R+A,5,0.3535032137407872,0.3655606407322654
