permutation_index,master_seed,permutation_eligible_identities,structurally_fixed_identities,actually_reassigned_identities,all_2300_destination_rows_filled_once,all_2300_source_rows_used_once,category_preserved,block_size_preserved,singleton_strata_fixed,macro_f1_L,macro_f1_L_plus_G_permuted,delta_G_given_L,balanced_accuracy_L,balanced_accuracy_L_plus_G_permuted,delta_balanced_accuracy,max_iterations_L_plus_G,converged_L_plus_G
87,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.757294758122237,0.019274727534009717,0.7417391304347827,0.761304347826087,0.019565217391304346,36,True
88,20260822,228,2,212,True,True,True,True,True,0.7380200305882273,0.7593988877553791,0.02137885716715182,0.7417391304347827,0.7621739130434785,0.0204347826086958,35,True
89,20260822,228,2,209,True,True,True,True,True,0.7380200305882273,0.7484377446942773,0.010417714106049969,0.7417391304347827,0.7517391304347827,0.010000000000000009,37,True
90,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7478758755844594,0.009855844996232155,0.7417391304347827,0.751304347826087,0.009565217391304337,36,True
91,20260822,228,2,198,True,True,True,True,True,0.7380200305882273,0.7523891234649724,0.014369092876745149,0.7417391304347827,0.7560869565217392,0.014347826086956506,38,True
92,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7557334128315346,0.01771338224330732,0.7417391304347827,0.7591304347826088,0.017391304347826098,35,True
93,20260822,228,2,196,True,True,True,True,True,0.7380200305882273,0.7551577584779213,0.017137727889694032,0.7417391304347827,0.7591304347826088,0.017391304347826098,34,True
94,20260822,228,2,200,True,True,True,True,True,0.7380200305882273,0.7510244304927,0.013004399904472663,0.7417391304347827,0.7547826086956523,0.013043478260869601,35,True
95,20260822,228,2,205,True,True,True,True,True,0.7380200305882273,0.7490055425623823,0.010985511974154982,0.7417391304347827,0.7521739130434782,0.01043478260869557,35,True
96,20260822,228,2,208,True,True,True,True,True,0.7380200305882273,0.7462782995499452,0.008258268961717885,0.7417391304347827,0.75,0.008260869565217321,36,True
97,20260822,228,2,202,True,True,True,True,True,0.7380200305882273,0.7505089411088777,0.012488910520650376,0.7417391304347827,0.7539130434782608,0.012173913043478146,36,True
98,20260822,228,2,201,True,True,True,True,True,0.7380200305882273,0.7539464973342279,0.015926466746000623,0.7417391304347827,0.757391304347826,0.0156521739130433,34,True
