bootstrap_rep,n_rows,macro_f1_M,macro_f1_M_plus_G,delta_macro_f1_G_given_M,balanced_accuracy_M,balanced_accuracy_M_plus_G,delta_balanced_accuracy_G_given_M
714,2300,0.3025342330334988,0.3261421075057572,0.023607874472258372,0.30347826086956514,0.3269565217391305,0.023478260869565337
715,2301,0.29622660450512983,0.3287304943697446,0.03250388986461478,0.29678433060697373,0.32847610848041325,0.03169177787343952
716,2301,0.2879775351700908,0.3101492776006057,0.022171742430514896,0.28854928971157984,0.31071028842014636,0.022160998708566526
717,2297,0.2893582538563355,0.3246065176239423,0.03524826376760681,0.29129986553115195,0.3258359480053788,0.03453608247422685
718,2298,0.2970084946353493,0.33954805678210254,0.04253956214675325,0.2998047914818101,0.3394409937888199,0.039636202307009816
719,2301,0.29455653863783676,0.31722123475284075,0.02266469611500399,0.2933232888506242,0.3154885923374946,0.022165303486870402
720,2300,0.3014276980370782,0.33671576892673266,0.035288070889654466,0.2995652173913044,0.3339130434782609,0.03434782608695652
721,2300,0.3002858576783806,0.3314124846744727,0.03112662699609209,0.30173913043478257,0.33,0.02826086956521745
722,2300,0.2892063614603687,0.3010214386485363,0.0118150771881676,0.291304347826087,0.30043478260869566,0.009130434782608665
723,2299,0.2815457523490757,0.31237179849612146,0.03082604614704576,0.2840711462450593,0.3141150636802811,0.03004391743522178
724,2299,0.31808467430946613,0.3342199224368351,0.016135248127368995,0.31801054018445324,0.33369784804567415,0.01568730786122091
725,2299,0.2884748932423172,0.3164262103960121,0.02795131715369492,0.2880017566974089,0.31368467281510765,0.02568291611769874
726,2301,0.28425756810768477,0.31915440114733956,0.034896833039654795,0.28418424451140767,0.3206629358588033,0.03647869134739562
727,2300,0.3125074219790601,0.3282754366091313,0.01576801463007116,0.3143478260869565,0.32869565217391306,0.014347826086956561
728,2299,0.28917956932982725,0.31700736934052226,0.027827800010695014,0.2901712779973649,0.3163109354413702,0.02613965744400526
729,2301,0.29697234512953785,0.32732722894240984,0.03035488381287199,0.30071028842014635,0.32851485148514853,0.027804563065002175
730,2301,0.2968136773296773,0.3139493107822705,0.017135633452593224,0.29985794231597074,0.31502798105897545,0.01517003874300471
731,2301,0.293609955937842,0.33264447810805153,0.03903452217020953,0.2942100731812312,0.3328540680154972,0.038643994834266004
732,2300,0.3025711849064789,0.3102706435072692,0.007699458600790299,0.3039130434782608,0.30869565217391304,0.004782608695652224
733,2301,0.2989101993484046,0.3305230659646622,0.03161286661625756,0.3024278949634094,0.3319500645716746,0.029522169608265203
734,2301,0.29372365545176515,0.3298323186460876,0.03610866319432243,0.2946534653465347,0.33027981058975464,0.03562634524321995
735,2298,0.29383842110415886,0.30939333824934834,0.015554917145189473,0.2933540372670808,0.3081810115350488,0.014826974267967974
736,2301,0.27817728428225647,0.3166355336823176,0.03845824940006115,0.27981919931123544,0.31717606543263027,0.03735686612139483
737,2300,0.28270937260811085,0.31928679998435044,0.03657742737623959,0.2804347826086957,0.31739130434782614,0.036956521739130443
738,2300,0.3161836979021425,0.32270906971415403,0.006525371812011516,0.31652173913043474,0.3234782608695652,0.006956521739130472
739,2298,0.3013817022652034,0.32363458298578984,0.022252880720586454,0.3006832298136646,0.32165927240461406,0.020976042590949484
740,2300,0.30017664715391656,0.3185231503571715,0.018346503203254927,0.30347826086956525,0.32217391304347825,0.018695652173913002
741,2296,0.287336628918986,0.3147919236653714,0.027455294746385417,0.2880072463768116,0.31469202898550724,0.026684782608695667
742,2300,0.3076338070495449,0.32842773233301603,0.020793925283471126,0.30869565217391304,0.32869565217391306,0.020000000000000018
