bootstrap_rep,n_rows,macro_f1_L,macro_f1_L_plus_G,delta_macro_f1_G_given_L,balanced_accuracy_L,balanced_accuracy_L_plus_G,delta_balanced_accuracy_G_given_L
8752,2300,0.7157273197007591,0.7155314014245032,-0.00019591827625586866,0.7208695652173914,0.721304347826087,0.00043478260869556085
8753,2300,0.7554797129023874,0.7524687485481174,-0.0030109643542699516,0.7595652173913043,0.7560869565217393,-0.003478260869565042
8754,2302,0.7547173713937562,0.7654362344127675,0.010718863019011371,0.7581074168797954,0.7685080988917308,0.010400682011935336
8755,2301,0.7273085329650194,0.7285358435127551,0.0012273105477357271,0.7314722341799397,0.7318984072320277,0.00042617305208803025
8756,2300,0.7553027194055054,0.7470443721068755,-0.008258347298629953,0.7639130434782611,0.7552173913043481,-0.008695652173912993
8757,2299,0.7192094977230158,0.7272594732813432,0.008049975558327427,0.7303205972771191,0.7368511198945982,0.0065305226174791065
8758,2300,0.7576204015762061,0.7590505632028757,0.001430161626669535,0.762608695652174,0.7630434782608697,0.00043478260869567187
8759,2301,0.7064282159075066,0.7097385424612874,0.003310326553780829,0.7118941024537236,0.7149332759362893,0.0030391734825656602
8760,2298,0.7620348188168528,0.7546350188860763,-0.007399799930776441,0.76583850931677,0.7597515527950311,-0.006086956521738851
8761,2301,0.7535856457319794,0.7537310824415343,0.0001454367095549136,0.7592767972449418,0.7597115798536376,0.0004347826086957829
8762,2299,0.7689340077041014,0.7706941432105674,0.0017601355064660318,0.7751251646903821,0.7759991216512955,0.0008739569609134135
8763,2301,0.717991086508609,0.7164434761768227,-0.0015476103317862977,0.723594489883771,0.7218467498923806,-0.001747739991390329
8764,2300,0.7515001264288751,0.7568929355315126,0.005392809102637508,0.7556521739130436,0.7604347826086958,0.0047826086956521685
8765,2299,0.754585634362165,0.7606401738142057,0.006054539452040708,0.761256038647343,0.7664734299516908,0.005217391304347729
8766,2301,0.7555472954956074,0.7568492520683623,0.001301956572754892,0.7623030563925959,0.762294446835988,-8.609556607863666e-06
