row_index,relative_path,category,garment_id,rotation_deg,shell_index,reference_R2,rotated_R2,shell_mass_fraction,E_abs,E_rel,E_sym,R2_stratum
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,4,0.35262917308647496,0.3261463055830505,0.01097946206769646,0.026482867503424434,0.07510118142417577,0.07803130294374737,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,5,0.4922783279201662,0.49874972585133687,0.011270816508040361,0.006471397931170686,0.013145811148160408,0.013059969203783543,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,6,0.545466929353268,0.5373814833420645,0.012149991310481605,0.008085446011203534,0.014822981148994734,0.014933661842986763,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,7,0.5067487875244469,0.5162739558967713,0.012139768347662519,0.009525168372324422,0.018796627849582973,0.0186216160561008,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,8,0.46900142249982313,0.4875539483470034,0.012027315756652593,0.018552525847180257,0.03955750442779788,0.03879028107020284,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,9,0.48248195474441985,0.4770333665309468,0.013632320919248818,0.005448588213473049,0.011292833151364744,0.011356959274461413,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,10,0.413966764231043,0.41402511201687886,0.01272247722835032,5.834778583585498e-05,0.00014094799601663174,0.00014093806354782196,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,11,0.41860759256396596,0.42813509434627695,0.013473864995553012,0.009527501782310988,0.022759983219499593,0.02250388914978826,"[0.40,0.60)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,12,0.35443534617998185,0.37096438610235055,0.0131569531481614,0.016529039922368705,0.04663485202735756,0.0455722250416697,"[0.20,0.40)"
0,A-Line/1-1.tif,A-Line,A-Line__G01,-60.0,13,0.3890675540054867,0.3881198958424795,0.015221991637616413,0.0009476581630071812,0.0024357162483762836,0.0024386862222043407,"[0.20,0.40)"
