bootstrap,hog_macro_f1,hog_ra14_macro_f1,delta_macro_f1,hog_balanced_accuracy,hog_ra14_balanced_accuracy,delta_balanced_accuracy
2524,0.6390547754669436,0.6384867682243673,-0.0005680072425762184,0.6526250158858854,0.6507804836065705,-0.0018445322793149144
2525,0.6304989829135852,0.6344535043440656,0.003954521430480362,0.6410032448562858,0.64449062703932,0.0034873821830342377
2526,0.630903908414879,0.630770632472925,-0.00013327594195400305,0.6391823901484983,0.6390090851925848,-0.00017330495591350026
2527,0.6358286574686584,0.6386183182586445,0.0027896607899861037,0.6446842086020615,0.647314694058634,0.0026304854565724067
2528,0.6651767016319066,0.6648297166829826,-0.00034698494892393406,0.6800261453522324,0.6791183574879228,-0.0009077878643095616
2529,0.6652275059615355,0.663246256412645,-0.0019812495488904514,0.6751557273774281,0.6739395281177507,-0.0012161992596774196
2530,0.6492341028418819,0.6501269013255752,0.0008927984836932801,0.663421187684433,0.6648983337267965,0.0014771460423634863
2531,0.6446541472022701,0.6458180138667682,0.001163866664498081,0.6538142833726116,0.6540929901730577,0.0002787068004460602
2532,0.6480580979592829,0.6504537098584715,0.0023956118991885766,0.6654981702809264,0.6673181256878383,0.0018199554069119328
2533,0.6424807251794539,0.6413508347933087,-0.0011298903861451937,0.6586341924624572,0.6572107970173227,-0.0014233954451345898
2534,0.6461546812594275,0.6461701959407833,1.5514681355743853e-05,0.6531069834662874,0.6531552926450314,4.830917874398821e-05
2535,0.6158933850735362,0.6144511987905114,-0.0014421862830248378,0.6368712284291995,0.6360568254408835,-0.000814402988316032
2536,0.6374311956207229,0.6388876991398577,0.001456503519134733,0.6450468948391671,0.6459964525278552,0.0009495576886880963
2537,0.6550621991001273,0.6532599125943899,-0.0018022865057374382,0.6606587683478043,0.6595671667127244,-0.0010916016350799307
2538,0.6468455509578588,0.6461725027060343,-0.0006730482518244596,0.6580398415270542,0.6579959240918324,-4.3917435221807466e-05
2539,0.6173003348806919,0.621502428695876,0.004202093815184105,0.6289410725426157,0.6335493628030799,0.004608290260464276
2540,0.6295222428114912,0.6295269908760265,4.748064535320395e-06,0.6412098770794422,0.6407784365393061,-0.00043144054013610766
2541,0.6242298237881141,0.624729641116712,0.0004998173285979401,0.6290523694102538,0.629795104935598,0.000742735525344207
2542,0.6378823692404535,0.6363443701320105,-0.001537999108442989,0.6520504415069633,0.6489396754614146,-0.0031107660455487185
2543,0.6427833030771172,0.6433426643965044,0.0005593613193872748,0.6568606815889425,0.6577480309545526,0.0008873493656100795
2544,0.6041224166191457,0.6096941242341136,0.005571707614967947,0.6149801633382869,0.6207289556088182,0.005748792270531378
2545,0.6134087408659984,0.6161072084551501,0.0026984675891517096,0.6228030243726632,0.6255290423160725,0.00272601794340932
2546,0.6391353570211619,0.6376516149030403,-0.0014837421181215227,0.6499397462440941,0.6485109093804746,-0.0014288368636194981
2547,0.6389800537812029,0.6403870523562876,0.0014069985750846392,0.6524259839076773,0.6536843270138465,0.0012583431061692352
2548,0.6324265563248016,0.632991428936929,0.0005648726121273429,0.6489012262295674,0.6487119589750826,-0.00018926725448475956
2549,0.6411814770728917,0.6436865372529672,0.002505060180075458,0.6488230368665151,0.6513478671087366,0.0025248302422214985
2550,0.6492392421697408,0.650169200584771,0.0009299584150301854,0.6635319907932443,0.6638201522884996,0.0002881614952552347
2551,0.6393904410049326,0.6406785777659099,0.0012881367609772765,0.6616429006486552,0.663607892178864,0.001964991530208793
2552,0.6457608903140126,0.6491156779389974,0.0033547876249847564,0.6604938081306948,0.6635272481206567,0.0030334399899618614
2553,0.6525256587243554,0.6549140283302815,0.002388369605926033,0.6619170351991712,0.6636328737084881,0.0017158385093168915
2554,0.6432527363874326,0.6444398818772786,0.0011871454898459977,0.6612764521068528,0.6626158373592815,0.0013393852524287153
2555,0.6430282580517356,0.6417317088488405,-0.0012965492028951253,0.653081201805773,0.6519631893834127,-0.001118012422360315
2556,0.6606451982383111,0.6611686205254343,0.0005234222871232097,0.6706087405064387,0.6711268455897611,0.0005181050833223955
2557,0.677822341403025,0.6792373541051802,0.0014150127021551606,0.6862617315978964,0.6877274759984234,0.001465744400527047
2558,0.6327700566890406,0.6350759305863,0.0023058738972593362,0.6588711520542524,0.6612624564020785,0.0023913043478260843
2559,0.6129895548370692,0.6139686893989009,0.0009791345618317404,0.6320232091252723,0.6326371603913976,0.0006139512661252899
2560,0.6312159229153932,0.6297549254057585,-0.0014609975096346872,0.6404307084579838,0.6386289956780101,-0.001801712779973652
2561,0.6359162817901843,0.6367675021894346,0.0008512203992502299,0.6543818592284784,0.6548176106041275,0.00043575137564910715
2562,0.6381201861748209,0.6394368355740397,0.0013166493992188277,0.6448146607448286,0.6452428557382409,0.0004281949934122897
2563,0.6351100365599371,0.6367454238307081,0.0016353872707709494,0.6397743213911692,0.6412963259566521,0.001522004565482904
2564,0.6154808532287727,0.6157640239827663,0.00028317075399364455,0.6309115038441289,0.6314083982540668,0.0004968944099379424
2565,0.6392149298973233,0.6394474161712626,0.00023248627393923638,0.6483690608359972,0.6486983812740131,0.00032932043801592314
2566,0.6311924635954781,0.632845621111984,0.0016531575165058543,0.6474810940185047,0.6480829679899438,0.0006018739714390708
2567,0.6353341668788491,0.6383083893269734,0.0029742224481242863,0.6475817097556227,0.6504129726955814,0.002831262939958723
2568,0.6309235607550362,0.6317597896016814,0.0008362288466452483,0.6372745933615499,0.6382840187188014,0.0010094253572514589
2569,0.6469525060977463,0.6489187676632074,0.0019662615654610915,0.6562544251906002,0.6585243061337548,0.002269880943154612
2570,0.669151631159318,0.6721394270925825,0.002987795933264481,0.6734664352345305,0.676939206424693,0.003472771190162427
2571,0.6498438765489868,0.6532179799664986,0.0033741034175117646,0.6629439869593322,0.6670098124382012,0.004065825478869023
2572,0.623505391814563,0.6240119850978879,0.0005065932833249187,0.640202756181017,0.6408626940692158,0.0006599378881988471
2573,0.6401991349411285,0.6401079471160602,-9.118782506822853e-05,0.647622640978513,0.647909829635267,0.0002871886567540338
2574,0.6536915526158817,0.6555080423375429,0.001816489721661152,0.6645422518177128,0.6661229175288133,0.001580665711100493
2575,0.6396095763734476,0.6405305463095834,0.0009209699361357737,0.6497539059164346,0.6502884438422768,0.0005345379258422378
2576,0.6591172925013734,0.6608293386658886,0.0017120461645151464,0.6657749129311312,0.6678021731105654,0.0020272601794342204
2577,0.648769824542062,0.6517440250959412,0.0029742005538792027,0.6545841959972396,0.6573688750862665,0.002784679089026909
2578,0.6365566464653157,0.6393349281027116,0.0027782816373959074,0.6464388666562578,0.6488558940732853,0.0024170274170274286
2579,0.6389870380499235,0.6405350038707983,0.001547965820874797,0.652886312630233,0.6536438883878087,0.0007575757575757347
2580,0.6376024384071443,0.6368109038151077,-0.0007915345920365136,0.644827422869694,0.6448675276924075,4.0104822713549204e-05
2581,0.645781943002399,0.6474518065361802,0.0016698635337811796,0.6709368947543422,0.673237070424083,0.0023001756697408338
2582,0.625450146829807,0.6269046317305235,0.001454484900716424,0.6358849036237496,0.6370165618206253,0.0011316581968756623
2583,0.6279853626422781,0.6292332454544066,0.001247882812128509,0.646140249463318,0.6470549868997947,0.0009147374364766314
2584,0.6385150084590243,0.6418423862032077,0.0033273777441833463,0.6571182530983407,0.6612883704206319,0.0041701173222912225
2585,0.6059496492580025,0.6102520493225374,0.0043024000645348615,0.6263829530729005,0.6310007929624795,0.0046178398895789785
2586,0.6475093292684249,0.6461519259695947,-0.001357403298830162,0.6572831750066717,0.6568794482985973,-0.00040372670807431454
2587,0.6320829818327944,0.6346844625190843,0.0026014806862898476,0.6464499507258343,0.6505907374753168,0.0041407867494824835
2588,0.6317940870842851,0.6309769581240872,-0.0008171289601979215,0.6465883512622642,0.6472766002113829,0.000688248949118675
2589,0.6134507993089324,0.618112313917152,0.004661514608219619,0.6367931038803832,0.6413917660877411,0.004598662207357829
2590,0.6582282982005936,0.6595248883874028,0.0012965901868091656,0.6749451227493364,0.6751829525523836,0.00023782980304720702
2591,0.6305525189095932,0.6302617202078543,-0.00029079870173887024,0.6502360519664683,0.6499777836647217,-0.0002582683017465781
2592,0.6293140139216876,0.6296897339547027,0.0003757200330151145,0.6377300025944996,0.6377671635012258,3.716090672611916e-05
2593,0.6365998857681145,0.6381974075489656,0.0015975217808510411,0.6437746447879688,0.6450200660333901,0.0012454212454213742
2594,0.6614817330749572,0.6610109577663998,-0.0004707753085573252,0.6723787888474569,0.672181377563089,-0.0001974112843678988
2595,0.6288650653611455,0.6276505457249986,-0.001214519636146938,0.639996935978551,0.6390635336321051,-0.0009334023464458996
2596,0.6067393342072754,0.6067860755915716,4.6741384296167254e-05,0.6226591666361487,0.6225109452922751,-0.0001482213438736002
2597,0.6488700962691153,0.6489186325587606,4.853628964529566e-05,0.6552831379963436,0.6554959686439567,0.00021283064761301596
2598,0.6008697524050093,0.6013381565227768,0.0004684041177674958,0.6341020858855623,0.6340026804600698,-9.940542549247144e-05
2599,0.6187105198300894,0.6189915679112498,0.0002810480811603622,0.6332887876772709,0.6334220602018478,0.00013327252457684402
2600,0.6379731760389322,0.6370123362916125,-0.0009608397473197527,0.6453723729401831,0.6442201676575431,-0.0011522052826400397
2601,0.6336358332665064,0.6344542792107416,0.000818445944235191,0.6484405216936271,0.6488211917482104,0.0003806700545833097
2602,0.6534773138317047,0.654015425910579,0.000538112078874331,0.6604207622066435,0.6614053090607556,0.0009845468541120894
2603,0.6346060312556299,0.6343813382603279,-0.00022469299530192277,0.637238866266181,0.6365832416975128,-0.0006556245686681894
2604,0.6546934758359112,0.6547476421383301,5.416630241894538e-05,0.6632504320193905,0.6636244058716253,0.00037397385223481017
2605,0.6270710178701159,0.6277754487465433,0.0007044308764274643,0.6454112069668978,0.64627387087304,0.0008626639061422026
2606,0.6472989870659008,0.6481727503705337,0.0008737633046328463,0.6564211705922627,0.6579603198488031,0.0015391492565404175
2607,0.6353589350477883,0.6356191500984323,0.0002602150506439971,0.6490975603771557,0.6490580346854562,-3.95256916995157e-05
2608,0.649987154916145,0.6523212322799485,0.002334077363803533,0.660126690723444,0.6623853016777072,0.0022586109542631627
2609,0.6294280795382854,0.6303268344920688,0.0008987549537834427,0.6424715855987361,0.6435550914648505,0.001083505866114387
2610,0.6227352369351622,0.6235027213025744,0.0007674843674122522,0.6301069833106009,0.6307920953000609,0.0006851119894599744
2611,0.6545215077724313,0.6560941623140775,0.0015726545416461235,0.6709017473416593,0.6723510227039783,0.0014492753623189802
2612,0.6458710874222717,0.6469692555687739,0.0010981681465022097,0.6629656490561331,0.6638593688628963,0.0008937198067632268
2613,0.6266916342693705,0.6274278654542813,0.0007362311849108405,0.6449999638696658,0.6456060244757263,0.0006060606060604989
2614,0.6227029663186017,0.6234179369649491,0.0007149706463474015,0.6335076221171919,0.6337181121102906,0.00021048999309869476
2615,0.6390602993138341,0.6414297731316124,0.0023694738177783004,0.6570768553202402,0.6586642724797397,0.0015874171594995046
2616,0.6636280746895876,0.6658362416939472,0.0022081670043595514,0.6762043339179113,0.6785936475028771,0.0023893135849657465
2617,0.6444941742022964,0.6434484886584217,-0.0010456855438746304,0.6549856274863154,0.6536840244999297,-0.0013016029863857081
2618,0.6400171404722997,0.6418051979973832,0.0017880575250834863,0.6608415888690069,0.6630983176474747,0.0022567287784678314
2619,0.6546338766503318,0.6562176863644485,0.0015838097141167573,0.6622234089104609,0.6638676463155678,0.0016442374051068853
2620,0.6245258716768477,0.625434995862571,0.000909124185723309,0.6413017684070317,0.6416565782298048,0.0003548098227731389
2621,0.6307873961926969,0.6357632507292562,0.004975854536559354,0.6352396432439698,0.640289991446492,0.005050348202522259
2622,0.6463897201371226,0.6495582080783067,0.0031684879411840727,0.6587194454766919,0.6618837630431834,0.0031643175664914924
2623,0.6702417439892954,0.6694540284807848,-0.0007877155085105336,0.680037648994724,0.6790385273434285,-0.0009991216512954537
2624,0.6209647241658398,0.6232931049108587,0.002328380745018843,0.6268952367433329,0.6295398988445167,0.002644662101183748
2625,0.6341965929893897,0.6344595559816186,0.00026296299222894337,0.6445431873875286,0.6448817739217673,0.0003385865342386829
2626,0.6466853181397694,0.6464891446500619,-0.00019617348970746296,0.6617676861174582,0.6614415991609364,-0.0003260869565218094
2627,0.6363280740682503,0.6358063535842544,-0.0005217204839959022,0.63880911091056,0.6387091987454305,-9.991216512950096e-05
2628,0.6267324520202487,0.6279090673668879,0.0011766153466391538,0.6331093357886258,0.6344378382040847,0.0013285024154588987
2629,0.6505858518750189,0.6515335470566712,0.000947695181652275,0.6661387770976607,0.667340682609029,0.0012019055113683397
2630,0.6401554289599682,0.6409830352176735,0.0008276062577052823,0.6476565442004396,0.6488618123622295,0.0012052681617898964
2631,0.6218741203216631,0.626756813126115,0.00488269280445186,0.6366457821267892,0.641797080104174,0.005151297977384783
2632,0.645970040605887,0.6471257281399996,0.0011556875341125483,0.6554381586660162,0.6566230848509425,0.0011849261849262716
2633,0.6343387697608508,0.6308742440978269,-0.0034645256630239096,0.6469279724927243,0.6433306640041113,-0.003597308488612949
2634,0.648492945889545,0.6490617921077501,0.0005688462182050769,0.6640557343421198,0.6645455826580551,0.0004898483159352374
2635,0.6281431403477956,0.6289489568892048,0.00080581654140921,0.6465443700921362,0.6476944156987037,0.0011500456065675069
2636,0.640335516694383,0.6419063103194372,0.0015707936250541898,0.6531444883618797,0.6534363824581216,0.0002918940962419736
2637,0.6536243156862023,0.6554456035319074,0.0018212878457051218,0.6657775685982442,0.6677210840200205,0.0019435154217762873
2638,0.6570814034071754,0.6589888771563376,0.0019074737491622251,0.6614282944528691,0.6633650533461497,0.001936758893280599
2639,0.6432565838962551,0.6439544787131141,0.0006978948168590016,0.6557756913078766,0.6566183570961944,0.0008426657883178201
2640,0.6289873194355663,0.6261553901742762,-0.002831929261290056,0.6475258461688042,0.6451682762025386,-0.0023575699662655714
