replicate,delta_macro_f1,delta_balanced_accuracy
310,0.06460173253532436,0.06568291611769878
311,0.04178429383467708,0.04434782608695653
312,0.03308085140852551,0.033478260869565346
313,0.024501938451033156,0.026956521739130435
314,0.043061704755466446,0.04275362318840581
315,0.032935112724481796,0.03476555839727197
316,0.04041025622571265,0.03825647782169522
317,0.048588243221143634,0.0469565217391304
318,0.04914780165097826,0.050540184453228
319,0.050678955534295855,0.049522591645353775
320,0.04677909987584766,0.04565217391304344
321,0.032362713958875355,0.030869565217391315
322,0.03944719023509746,0.03691777873439517
323,0.052626201423252805,0.05300937766410918
324,0.03528496466637099,0.036061127851915564
325,0.029010845465848478,0.027856829161176933
326,0.03933149951076631,0.04177323103154307
327,0.04369468791387482,0.042582866982350476
328,0.02836366689429487,0.02738243123336287
329,0.023183859027658793,0.021254180602006623
330,0.04438125138417304,0.04400087834870442
331,0.043471916665196286,0.04383631713554986
332,0.0453903685122557,0.04478260869565209
333,0.03215447120291842,0.03216099870856648
334,0.027916842777718665,0.026521739130434707
335,0.05125134271938714,0.05221783047869999
336,0.023291553140963428,0.02173913043478265
337,0.04033482562809243,0.041339840283939666
338,0.03431405393344611,0.03644855789926821
339,0.038813582427844995,0.038282828282828196
340,0.03620624173835757,0.03567413263065433
341,0.04222763180892464,0.04222222222222227
342,0.05003929643127192,0.04910891089108915
343,0.028892676286596086,0.032652613087395754
344,0.04476536114410651,0.041747913921826973
345,0.027028063012599413,0.026482996125699543
346,0.03757611577399761,0.03610891523934995
347,0.029901626325065267,0.02956521739130441
348,0.056342952126116064,0.05555839727195233
349,0.027793842167202487,0.02868712702472287
350,0.06096192078794649,0.06599655617735689
351,0.036929070926599084,0.03733103745157129
352,0.04207554866780766,0.04344027015618401
353,0.03243143851336672,0.03305200341005954
354,0.042670171550488745,0.04391304347826086
355,0.039741122191989386,0.04181011535048801
356,0.0461748025321122,0.047391304347826124
357,0.05603200843889122,0.05304347826086958
358,0.05286969781652767,0.049978476108480496
359,0.047514229485903337,0.050434782608695716
360,0.043466015471636976,0.043913043478260916
361,0.04821138144887177,0.04790594498669032
362,0.05461457370543629,0.05427184466019422
363,0.03319264008829831,0.03217391304347833
364,0.039384095454810586,0.03828282828282825
365,0.036318486086413915,0.03437340153452684
366,0.03802361774579871,0.03784313725490196
367,0.04340943438675249,0.04473525613430912
368,0.04710315895583633,0.04656436487638532
369,0.03300432769829864,0.034782608695652195
370,0.051017080124670544,0.05391304347826098
371,0.048293421737350295,0.04922266139657444
372,0.04765862467447041,0.04733964700817905
373,0.035136234190319804,0.030000000000000082
374,0.05197781055405798,0.05295738269479133
375,0.05100002482377203,0.050830822212656
376,0.04609913198497617,0.04869565217391297
377,0.04758739449342722,0.04868273783900129
378,0.043257707953824553,0.04341858482523442
379,0.04389790182111819,0.04214808437365469
380,0.043068436279974864,0.04258286698235042
381,0.03607877334401377,0.03478260869565214
382,0.04012242343144318,0.038274044795783946
383,0.032147072989162584,0.0317391304347826
384,0.050280343917601444,0.04861386138613866
385,0.036048499513919696,0.0365832235397453
386,0.047181815039856856,0.044339042599912115
387,0.03945758213320738,0.04137900746596401
388,0.05114466332032547,0.05116539668310183
389,0.044843021329693644,0.04645842127479949
390,0.06413947338243059,0.06089152393500219
391,0.0373671430855006,0.03521739130434781
392,0.041929454061603144,0.04253981919931127
393,0.04229925503587256,0.040434782608695596
394,0.032592180181948205,0.03260869565217395
395,0.03933541300294374,0.041739130434782556
396,0.0515696895250809,0.04912156166814552
397,0.04640724621262282,0.04347826086956519
398,0.048273854117973636,0.04999999999999999
399,0.041729026584597706,0.04561343090830822
400,0.047621381456127765,0.04909599655617736
401,0.03455884861376779,0.035174765558397214
402,0.038187341493387705,0.037783039173482524
403,0.04367232285887823,0.04219148001756712
404,0.04985374350503599,0.04606973740852352
405,0.045373742979808396,0.04918367346938779
406,0.03777539875689406,0.0360439087387
407,0.04303246229484314,0.04304347826086952
408,0.030504830915802972,0.03347826086956529
409,0.037351754699443684,0.03830917874396139
410,0.03553143655532148,0.036086956521739155
411,0.03898849143664662,0.03666965486328999
412,0.05103321786556836,0.0522046552481335
413,0.05998974151916564,0.06341999103541007
414,0.05849669351990475,0.05640238704177325
415,0.04459707433860077,0.04565217391304349
416,0.021721738699990945,0.022160998708566526
417,0.03266358442996875,0.03345673697804563
418,0.0439033964383963,0.04565217391304349
419,0.044026559470253024,0.04336743393009379
420,0.04374309521590575,0.04565217391304355
421,0.05578074241490927,0.05826086956521731
422,0.052983421271997566,0.05361135758651292
423,0.04973695224557556,0.050434782608695716
424,0.05083873669443789,0.052608695652173854
425,0.03953866042319859,0.036960826517434375
426,0.049808795070529155,0.04958296362023068
427,0.05261756681214935,0.05126990959965566
428,0.045732977220795556,0.04568291611769876
429,0.03679213756347338,0.03782608695652179
430,0.04933760599761128,0.05086956521739133
431,0.03741292904600235,0.03655248133508998
432,0.03206848733160783,0.03130434782608693
433,0.05086935994061054,0.04999999999999999
434,0.03993007768538537,0.040396039603960376
435,0.0385707718976559,0.03520017219113214
436,0.04141676826209756,0.03783461210571187
437,0.046926189196615786,0.045226264418811
438,0.04368047695884847,0.04357048748353093
439,0.03727133641315661,0.03608256477821692
440,0.026368426564291725,0.029121825226000875
441,0.04758049196069142,0.04707187222715181
442,0.04048175900045681,0.037817477399913924
443,0.02699341350177531,0.026974088713219102
444,0.05267500818696874,0.05339216530348684
445,0.05700226983154033,0.055652173913043446
446,0.051961229884242954,0.05234872254594353
447,0.03157899044006618,0.03397515527950318
448,0.04435897684045076,0.044874835309617944
449,0.04672759627485956,0.04739130434782607
450,0.038704293039183324,0.03938792739552549
451,0.048227640913472536,0.04873956960913478
452,0.04546687563753754,0.04535048802129549
453,0.050826414134453046,0.05043478260869566
454,0.047062452726589266,0.04652173913043478
455,0.039931372952591804,0.039156785243741776
456,0.047429183651210294,0.047826086956521685
457,0.03586767885595493,0.037391304347826115
458,0.053882679058455146,0.0539130434782609
459,0.03289368304440443,0.03260869565217395
460,0.05158455411876178,0.05078431372549019
461,0.05442408198091092,0.056672582076308764
462,0.03527255602618801,0.03478260869565225
463,0.03981604919969284,0.03995695221696083
464,0.0419879078423081,0.04385277658200609
465,0.04359371600040296,0.044245524296675165
466,0.0403952000087075,0.042608695652173956
467,0.05050927604983135,0.05090469916556878
468,0.04746064069312411,0.04641943734015341
469,0.05601005552625521,0.05608695652173906
470,0.043061934022046944,0.042665788317962194
471,0.042521235574313976,0.04173913043478267
472,0.06344634664342474,0.06351339481774265
473,0.04664475805316551,0.04690537084398988
474,0.04083609240685182,0.03919191919191917
475,0.03703090176668472,0.03913043478260869
476,0.07265455177056857,0.07442248572683346
477,0.03963921717998814,0.039130434782608636
478,0.040410244349733004,0.03999999999999998
479,0.05678212834660751,0.057331037451571254
480,0.04414376051023883,0.0429616874730952
481,0.03536097725040671,0.03347826086956518
482,0.051025030146018224,0.052173913043478126
483,0.03986358560641445,0.037374085234610444
484,0.04553986264894694,0.04172208013640244
485,0.04513002051312498,0.04513213981244674
486,0.044508681917240334,0.04350021958717615
487,0.04045664487286327,0.04271409749670618
488,0.036521462185148235,0.03743083003952569
489,0.04402523701628802,0.042608695652173845
490,0.042051122144181774,0.045191562634524285
491,0.0428971257250193,0.04478260869565226
492,0.047526534236880136,0.04770555316401215
493,0.04973072062637618,0.054347826086956486
494,0.04622168223496137,0.04617918313570496
495,0.044003798740177846,0.03909599655617746
496,0.033157354132072714,0.03573285522187347
497,0.051121272290871766,0.05173913043478251
498,0.03656931460876012,0.03703637976929902
499,0.0327791786389981,0.03695652173913039
500,0.030307641014360343,0.0313570487483531
501,0.03279267193663904,0.03434782608695652
502,0.039708275181356056,0.04127851915626357
503,0.04188323356985679,0.041202046035805684
504,0.04328206298630821,0.04043478260869565
505,0.025562493603205727,0.025217391304347858
506,0.04581594583659798,0.04391304347826097
507,0.05169912021496553,0.05177865612648225
508,0.03899446311382454,0.037783039173482635
509,0.05951396252516389,0.05569251456745866
510,0.04395844992041276,0.04383631713554986
511,0.03415470363384315,0.033478260869565124
512,0.04554590742832898,0.04520447696943608
513,0.03270816605924398,0.03131295738269485
514,0.037817775526420905,0.038682737839001335
515,0.03097316341087869,0.030021958717610875
516,0.04811811907208319,0.04653061224489802
517,0.0530045526890372,0.053913043478260925
518,0.04373862083084851,0.044782608695652204
519,0.046081355619199516,0.0469565217391304
520,0.03712156488399937,0.035687666370896265
521,0.03131076438653063,0.03391304347826085
522,0.052097322117481415,0.05298751614291852
523,0.03913649312331291,0.04236216943074844
524,0.04816157639483204,0.04773999139044338
525,0.03776029202538683,0.03693069306930691
526,0.05543638094338155,0.05217391304347824
527,0.031822306893531827,0.03029838022165393
528,0.038741304006603694,0.037413263065437075
529,0.04340680968762717,0.041637821865766145
530,0.024242839877863687,0.022626441881100245
