permutation,delta_macro_f1,delta_balanced_accuracy,self_mapped_rows
152,0.03637821471398961,0.034782608695652195,20
153,0.044049395057400964,0.04217391304347823,20
154,0.046249412950506164,0.044782608695652204,20
155,0.04202675319294574,0.04130434782608694,20
156,0.049889973051122416,0.04913043478260859,20
157,0.034757751758215105,0.035217391304347756,20
158,0.061634784383793495,0.059565217391304326,20
159,0.04644363009580643,0.04565217391304344,20
160,0.040943555842210655,0.03913043478260869,20
161,0.041435217735423024,0.04130434782608694,20
162,0.05528981302329855,0.05565217391304339,20
163,0.0416056774962586,0.04086956521739127,20
164,0.04804031863668823,0.0469565217391304,20
165,0.03171371190844485,0.0295652173913043,20
166,0.05544476864411829,0.05434782608695654,20
167,0.054649720397665746,0.053043478260869525,20
168,0.04408430950508724,0.04304347826086957,20
169,0.05454335722008313,0.053043478260869525,20
170,0.03762450368207526,0.03782608695652162,20
171,0.058877864104265154,0.05739130434782602,20
172,0.03467551631550492,0.03260869565217378,20
173,0.043995582950345336,0.043478260869565244,20
174,0.060667313374121845,0.05999999999999994,20
175,0.0611585261478203,0.05956521739130438,20
176,0.052241435654858615,0.05173913043478251,20
177,0.04721185089922042,0.04521739130434782,20
178,0.06060585616292191,0.05869565217391298,20
179,0.056300347138743545,0.05521739130434783,20
180,0.04539623510197788,0.04565217391304338,20
181,0.050282207031458914,0.047826086956521685,20
182,0.05566138652897751,0.05347826086956514,20
183,0.05790300342390464,0.05739130434782602,20
184,0.055430783816958706,0.05347826086956514,20
185,0.06576771773258677,0.06478260869565206,20
186,0.04084492828851949,0.03913043478260869,20
187,0.04501344174851524,0.04304347826086952,20
188,0.04703692166116458,0.04695652173913045,20
189,0.04580787743776399,0.04391304347826086,20
190,0.05687089852896299,0.056521739130434734,20
191,0.046596195684944774,0.04434782608695648,20
192,0.05781627263482686,0.0556521739130435,20
193,0.034494413318125694,0.03304347826086956,20
194,0.04248944084178774,0.04217391304347823,20
195,0.04956745077685232,0.048695652173913084,20
196,0.031467870385595675,0.028260869565217395,20
197,0.04189957570858194,0.04086956521739127,20
198,0.05246470825297489,0.05173913043478262,20
199,0.04825964185752496,0.04782608695652174,20
200,0.05700104362037073,0.05521739130434783,20
201,0.05214851317677993,0.05217391304347829,20
202,0.04564718802922446,0.043913043478260916,20
203,0.050846404614570795,0.04999999999999988,20
204,0.06011915122885436,0.058260869565217366,20
205,0.0522408274895908,0.051304347826086893,20
206,0.039391794660692536,0.03999999999999998,20
207,0.048865051560333606,0.04739130434782607,20
208,0.05807545687591681,0.05782608695652175,20
209,0.034044243458181855,0.031304347826086876,20
210,0.04398193177590698,0.04304347826086957,20
211,0.03670336205517849,0.035217391304347756,20
212,0.03826620858206842,0.036521739130434716,20
213,0.04520649784871089,0.04478260869565209,20
214,0.0455317449110782,0.042608695652173845,20
215,0.04565948163809708,0.04608695652173905,20
216,0.028393226968043972,0.026086956521739035,20
217,0.05972557624913888,0.05913043478260871,20
218,0.05206392908951635,0.04999999999999988,20
219,0.062488560009354654,0.06043478260869567,20
220,0.03819458634710393,0.037391304347826115,20
221,0.0588483392245544,0.05869565217391298,20
222,0.0462155202602047,0.04608695652173905,20
223,0.0458396234983644,0.04478260869565215,20
224,0.04645791376296399,0.04304347826086957,20
225,0.037058366578575364,0.036521739130434716,20
226,0.052742100758793764,0.05086956521739128,20
227,0.04888191970632899,0.04739130434782607,20
228,0.065787854396963,0.06434782608695655,20
229,0.04779297821862205,0.04521739130434782,20
230,0.04816699717818329,0.04739130434782607,20
231,0.0443691575694552,0.042608695652173845,20
232,0.04477109564046228,0.04391304347826086,20
233,0.04714961114241767,0.04565217391304349,20
234,0.05762542072976207,0.05739130434782608,20
235,0.050247629575090325,0.04739130434782596,20
