replicate,delta_macro_f1,delta_balanced_accuracy
115,0.02822148614278691,0.03154589371980676
116,0.040061962639198756,0.04050557229636004
117,0.026228985754804368,0.02595959595959596
118,0.03994067697698794,0.04202898550724632
119,0.04375945476726556,0.044914587379849547
120,0.03738635911073579,0.037246376811594095
121,0.030219712857334935,0.029727891156462516
122,0.04251175587092226,0.04225735617039972
123,0.029605536203706984,0.027632850241545992
124,0.04003716237497018,0.039420289855072455
125,0.04808063860476103,0.04894676424164157
126,0.031753821884882516,0.031515760271679405
127,0.04053888036635239,0.03883269249728888
128,0.05230923408517962,0.053891084760649965
129,0.03834143989960159,0.03846547314577997
130,0.028860198694090622,0.029390712806861896
131,0.03142663764801906,0.032995169082125575
132,0.03527470010682576,0.03582388673649972
133,0.029546035828510342,0.029323671497584525
134,0.03120694416802433,0.030000000000000027
135,0.04998652643349183,0.05144927536231875
136,0.05447352939949013,0.05449275362318845
137,0.03555495606736009,0.034698807059055536
138,0.05093542066879697,0.04993493049393671
139,0.03440007137502782,0.03786122090469912
140,0.02745984209473379,0.027131642512077225
141,0.021858974772755724,0.01977232505859272
142,0.04267586843731491,0.04379490122925339
143,0.029626151753489705,0.031664470794905586
144,0.041074322150818576,0.04367149758454114
145,0.030330970342720254,0.03044961017840908
146,0.02958004141672993,0.03019323671497587
147,0.057400248874621196,0.05841966805376192
148,0.04342045549304674,0.042876592007026815
149,0.045107939340162995,0.045704874835309606
150,0.03860938131996311,0.04111637250681588
151,0.037858939154715,0.03632850241545893
152,0.03203983967686924,0.03130434782608699
153,0.036172424024745575,0.03865612648221334
154,0.03501268380839728,0.03378800795680581
155,0.03732465724598805,0.03760894466855924
156,0.032637599869422385,0.030873869995695247
157,0.03759347583595585,0.035538795228236275
158,0.019235677361487125,0.017681159420289805
159,0.03364747324727152,0.034005270092226536
160,0.02409533333780456,0.02209074157079538
161,0.04299083837161921,0.04252964426877465
162,0.03700075121826801,0.03802371541501964
163,0.042829477915692526,0.04255160298638555
164,0.048834250415518865,0.05101888449714531
165,0.034598386154064575,0.03575835844454012
166,0.02659502151772347,0.027055981813014995
167,0.03085137416675765,0.031497584541062884
168,0.02433360863075884,0.023577720943449842
169,0.0513207860906475,0.05181604990385069
170,0.042475275723511174,0.043269718276175484
171,0.05369781610260932,0.051932367149758574
172,0.03083559019882398,0.028454106280193237
173,0.029571602404161124,0.02994934571549185
174,0.048827323350666085,0.048888888888888926
175,0.04178318663312852,0.04211242863416775
176,0.04596158151558244,0.04649332196646777
177,0.02886682409323721,0.028164251207729474
178,0.046704158849956934,0.04884057971014499
179,0.029040261252035182,0.026328502415458976
180,0.020770310261078173,0.022231788396230856
181,0.026891895613475714,0.025789448510068314
182,0.03937418998975778,0.03846288976723761
183,0.035488049279672196,0.035265700483091855
184,0.0332519456595764,0.032850241545893666
185,0.04038822776356665,0.03983020041134544
186,0.03591087188491221,0.03635041585736348
187,0.03621346718198004,0.03429951690821259
188,0.04972608292017955,0.049951690821256
189,0.029164892111875507,0.02860781730346945
190,0.03011253736309122,0.031479468599033666
