permutation,delta_macro_f1,delta_balanced_accuracy,self_mapped_rows
449,0.041001342077005565,0.040338164251207786,20
450,0.049169235931737776,0.0477777777777777,20
451,0.04609085297395277,0.0444444444444444,20
452,0.05168954194000841,0.0489371980676328,20
453,0.028710531460977906,0.02739130434782605,20
454,0.050154067452085005,0.047971014492753594,20
455,0.04462862525654243,0.04386473429951687,20
456,0.057958497669612974,0.05690821256038642,20
457,0.04146062605040257,0.04048309178743964,20
458,0.04028189699893031,0.04125603864734295,20
459,0.046394166325667896,0.045458937198067595,20
460,0.03376185648087582,0.03275362318840569,20
461,0.04849396187028043,0.047971014492753594,20
462,0.04568021145615436,0.04367149758454103,20
463,0.04484408604869167,0.04371980676328502,20
464,0.040414476275143996,0.03840579710144926,20
465,0.03339913767626562,0.03251207729468597,20
466,0.040590535788556203,0.04130434782608694,20
467,0.04164243201912898,0.04125603864734284,20
468,0.02556663887291466,0.024154589371980617,20
469,0.02754626795837778,0.027487922705313972,20
470,0.03538094903347194,0.03458937198067624,20
471,0.04232806534657002,0.040386473429951664,20
472,0.02581593455049319,0.024492753623188368,20
473,0.03510541315255489,0.03371980676328501,20
474,0.03801749587505404,0.03739130434782606,20
475,0.050980643066041886,0.051207729468599084,20
476,0.04309889786874127,0.0427536231884057,20
477,0.04298359818574704,0.04227053140096615,20
478,0.044683242497435605,0.043091787439613505,20
479,0.05009487416008562,0.04908212560386466,20
480,0.053023466688922105,0.0539613526570048,20
481,0.023474747535984664,0.02241545893719804,20
482,0.039091206925606026,0.03729468599033814,20
483,0.05170401493169735,0.0501449275362319,20
484,0.056314945211083656,0.05570048309178749,20
485,0.0325269589858182,0.030724637681159406,20
486,0.04626149821852937,0.04608695652173905,20
487,0.04860274108777235,0.0469565217391304,20
488,0.04234931844414047,0.041304347826086885,20
489,0.03771086057089956,0.038019323671497574,20
490,0.03688414698798431,0.03555555555555556,20
491,0.04532614898822396,0.04608695652173905,20
492,0.03716412924041135,0.03830917874396128,20
493,0.040020263961474734,0.041062801932367166,20
494,0.04409927441621975,0.04347826086956519,20
495,0.042656466455105846,0.04164251207729458,20
496,0.05397527266629909,0.05376811594202896,20
497,0.03459125356167475,0.03545893719806753,20
498,0.035984207421683845,0.03570048309178736,20
499,0.03429638118193157,0.0329468599033817,20
500,0.03901507811298327,0.037826086956521676,20
501,0.034047521638115696,0.034057971014492705,20
502,0.04224105152187829,0.04256038647342991,20
503,0.0603701794024924,0.05893719806763276,20
504,0.03409076716785148,0.03410628019323664,20
505,0.04282579192268615,0.04067632850241537,20
506,0.041447113243629374,0.04198067632850233,20
507,0.03726345029327904,0.03449275362318838,20
508,0.036826793537337754,0.03492753623188399,20
509,0.035094936984105485,0.03323671497584535,20
510,0.04183325320630993,0.041159420289855086,20
